Objects
100
,,Global Angle rccar_car_01:rccar_car_01,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-1.23614,1.39621,1.72913,1109.95,1680.71,222.682
2,0,-1.23523,1.39348,1.73666,1110.09,1680.95,222.702
3,0,-1.23543,1.39547,1.73303,1110.09,1680.74,222.413
4,0,-1.23348,1.39287,1.74077,1110.49,1680.77,222.156
5,0,-1.2371,1.39511,1.73093,1109.78,1680.94,222.884
6,0,-1.23412,1.3934,1.73787,1110.27,1680.73,222.338
7,0,-1.23428,1.39389,1.73736,1110.28,1680.76,222.359
8,0,-1.23506,1.39363,1.73643,1110.1,1680.93,222.71
9,0,-1.23507,1.3948,1.73364,1110.13,1680.69,222.542
10,0,-1.23454,1.39411,1.73678,1110.25,1680.78,222.406
11,0,-1.23388,1.39412,1.73722,1110.33,1680.71,222.29
12,0,-1.23438,1.39459,1.73585,1110.24,1680.7,222.341
13,0,-1.2355,1.39562,1.73291,1110.07,1680.76,222.428
14,0,-1.23375,1.39343,1.73912,1110.36,1680.78,222.233
15,0,-1.23555,1.39616,1.73149,1109.96,1680.74,222.449
16,0,-1.23489,1.39312,1.73668,1110.03,1680.93,222.697
17,0,-1.23363,1.39407,1.73806,1110.26,1680.77,222.271
18,0,-1.2336,1.39431,1.7366,1110.19,1680.75,222.349
19,0,-1.23326,1.39384,1.73875,1110.27,1680.79,222.249
20,0,-1.23311,1.39431,1.73791,1110.18,1680.77,222.277
21,0,-1.23218,1.39425,1.73872,1110.2,1680.7,222.166
22,0,-1.23197,1.39391,1.73935,1110.18,1680.78,222.166
23,0,-1.23193,1.3953,1.73625,1109.95,1680.67,222.242
24,0,-1.23163,1.3955,1.73594,1109.89,1680.66,222.235
25,0,-1.23247,1.39654,1.73275,1109.68,1680.73,222.385
26,0,-1.23022,1.3949,1.73882,1109.91,1680.7,222.147
27,0,-1.22233,1.38558,1.77781,1111.37,1681.44,220.335
28,0,-1.39998,1.65307,0.891548,1076.64,1703.22,237.875
29,0,-1.39963,1.65295,0.891596,1076.45,1703.17,237.867
30,0,-1.39913,1.65387,0.891244,1076.4,1703.25,237.901
31,0,-1.39356,1.65071,0.895079,1076.54,1702.02,239.401
32,0,-1.39732,1.65703,0.889536,1076.42,1702.25,240.476
33,0,-1.40968,1.66797,0.879319,1075.72,1703.59,240.849
34,0,-1.40304,1.66872,0.882378,1075.86,1701.03,243.071
35,0,-1.41286,1.67796,0.869736,1074.91,1701.12,243.537
36,0,-1.40701,1.6798,0.87497,1074.77,1698.03,244.898
37,0,-1.40558,1.68259,0.874596,1074.03,1695.11,245.486
38,0,-1.39678,1.68239,0.87906,1073.53,1690.77,246.299
39,0,-1.39744,1.68871,0.873548,1072.43,1687.83,245.992
40,0,-1.39436,1.6924,0.876958,1071.56,1683.7,245.827
41,0,-1.39013,1.69538,0.875397,1070.15,1679.11,245.647
42,0,-1.38902,1.70113,0.869401,1068.2,1674.89,244.961
43,0,-1.37708,1.70015,0.871652,1066.43,1668.29,245.602
44,0,-1.3785,1.71044,0.861365,1064.19,1663.96,244.848
45,0,-1.36849,1.71141,0.861485,1061.7,1656.97,245.33
46,0,-1.35758,1.71664,0.861929,1059.59,1649.73,245.606
47,0,-1.35235,1.72374,0.856246,1056.63,1643.09,245.376
48,0,-1.34533,1.73055,0.850235,1053.38,1635.97,245.808
49,0,-1.33719,1.73988,0.84409,1050.09,1628.45,245.755
50,0,-1.32424,1.7459,0.837944,1046.32,1619.99,246.001
51,0,-1.31238,1.75015,0.831553,1041.77,1611.26,246.018
52,0,-1.30432,1.75854,0.821816,1037.12,1602.92,245.863
53,0,-1.28838,1.76303,0.816905,1032.49,1593.1,246.29
54,0,-1.27484,1.77115,0.810968,1027.76,1583.36,245.894
55,0,-1.26151,1.77965,0.803082,1022.62,1573.5,245.844
56,0,-1.24777,1.79113,0.793114,1017.29,1563.66,246.287
57,0,-1.23486,1.80222,0.782339,1011.31,1553.68,246.578
58,0,-1.21731,1.81011,0.772563,1004.95,1542.68,246.979
59,0,-1.20076,1.81736,0.761241,998.061,1531.53,246.917
60,0,-1.18219,1.82489,0.751047,991.027,1519.86,246.999
61,0,-1.1694,1.83752,0.742108,984.077,1508.63,246.678
62,0,-1.1478,1.84448,0.734684,976.646,1496.14,246.851
63,0,-1.13341,1.86011,0.72109,969.151,1484.94,245.774
64,0,-1.10972,1.86905,0.70651,960.777,1472.1,246.789
65,0,-1.08971,1.87838,0.693681,952.058,1459.61,247.805
66,0,-1.06756,1.88942,0.681564,943.245,1446.86,248.038
67,0,-1.04749,1.89966,0.665209,933.685,1434.37,247.606
68,0,-1.02275,1.90499,0.652269,923.559,1420.87,247.947
