Objects
100
,,Global Angle rccar_car_01:rccar_car_01,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1
2
3
4
5
6
7
8
9
10,0,0.00145235,0.0757637,-1.49277,451.525,2724.24,159.948
11,0,0.000847787,0.0760363,-1.49235,451.518,2724.13,159.952
12,0,0.00165022,0.0757999,-1.49243,451.521,2724.3,159.967
13,0,0.000698926,0.0745785,-1.49401,451.748,2724.37,159.739
14,0,0.0007233,0.0759345,-1.49211,451.456,2724.22,159.945
15,0,0.00177849,0.07577,-1.493,451.661,2724.38,159.985
16,0,0.000695642,0.0752265,-1.49287,451.567,2724.56,159.731
17,0,0.00119525,0.0762667,-1.49189,451.443,2724.37,159.932
18,0,0.000804318,0.0744765,-1.49351,451.778,2724.33,159.766
19,0,0.000638045,0.0759956,-1.49159,451.535,2724.32,159.884
20,0,0.000765218,0.0752199,-1.4927,451.722,2724.29,159.831
21,0,0.00244247,0.0751378,-1.4933,451.801,2723.95,160.095
22,0,0.00124775,0.0750274,-1.49289,451.772,2724.19,159.963
23,0,0.00118876,0.0737412,-1.4947,452.154,2724.18,159.826
24,0,0.000193078,0.0725059,-1.49334,452.156,2723.9,159.648
25,0,0.0001234,0.0702649,-1.49659,453.039,2724.46,159.19
26,0,0.0026331,0.0635888,-1.50461,453.81,2723.81,159.097
27,0,-0.00114338,0.0652001,-1.49951,453.656,2723.89,158.981
28,0,-0.00121975,0.065803,-1.49674,453.684,2723.75,159.132
29,0,-0.00232866,0.0680235,-1.49134,453.441,2723.72,159.199
30,0,0.00300513,0.0684029,-1.49029,453.848,2724.22,159.153
31,0,0.0108675,0.067483,-1.50095,455.831,2723.07,160.528
32,0,0.00177244,0.0709944,-1.48615,453.593,2724.14,159.287
33,0,0.00247602,0.0697937,-1.48823,453.852,2724.27,159.213
34,0,-0.00291983,0.0687795,-1.48963,453.726,2723.94,159.091
35,0,-0.00343799,0.0683007,-1.48967,453.663,2724.06,158.923
36,0,-0.00183819,0.0659414,-1.49323,453.806,2723.76,158.914
37,0,0.00837898,0.0642725,-1.50499,455.752,2722.76,160.241
38,0,-0.00215303,0.0692845,-1.48878,453.461,2724.14,159.028
39,0,-0.00424786,0.0679987,-1.48981,453.542,2723.92,158.807
40,0,0.00577176,0.0651422,-1.50355,455.72,2722.85,160.19
41,0,-0.00519822,0.0681406,-1.48976,453.636,2724.03,158.844
42,0,0.00208337,0.0691587,-1.48966,453.762,2724.08,159.135
43,0,0.00235317,0.0682397,-1.49108,453.989,2724.36,159.054
44,0,-0.00222532,0.0668165,-1.49249,453.866,2723.88,158.932
45,0,-0.00356658,0.0663965,-1.49205,453.808,2723.96,158.794
46,0,-0.0035036,0.0676123,-1.49062,453.665,2723.97,158.932
47,0,0.00303009,0.0673985,-1.49119,453.873,2724.24,158.973
48,0,-0.00215683,0.0680318,-1.49094,453.778,2724.26,158.804
49,0,0.00360935,0.0690723,-1.49048,453.752,2724.11,159.235
50,0,-0.00301117,0.0672898,-1.49111,453.716,2724.07,158.864
51,0,0.00174135,0.0684631,-1.49058,453.832,2724.23,159.1
52,0,-0.00300588,0.0677942,-1.49037,453.656,2723.83,159.003
53,0,-0.00378718,0.0672147,-1.4912,453.672,2723.77,158.907
54,0,-0.0028327,0.0685425,-1.49124,453.725,2724.06,158.966
55,0,-0.00323426,0.0657968,-1.49467,453.931,2724.13,158.777
56,0,0.00614616,0.0664152,-1.50449,455.64,2722.97,160.23
57,0,0.00727869,0.0653232,-1.50637,455.615,2722.79,160.348
58,0,-0.00162619,0.0657297,-1.49567,453.756,2723.87,158.784
59,0,-0.00363781,0.0660772,-1.49523,453.765,2723.97,158.707
60,0,-0.00162249,0.0657837,-1.49649,453.814,2723.81,158.925
61,0,-0.00278141,0.067637,-1.49433,453.527,2723.57,159.241
62,0,-0.00284781,0.0663727,-1.49629,453.866,2724.02,158.915
63,0,0.00669916,0.0641143,-1.50839,455.765,2722.84,160.202
64,0,-0.00355798,0.0671952,-1.4957,453.589,2723.7,159
65,0,-0.00192682,0.0671931,-1.49581,453.773,2724.01,158.941
66,0,-0.00191172,0.0654166,-1.49772,453.913,2724.07,158.826
67,0,-0.00147843,0.0651036,-1.49893,453.887,2723.86,158.914
68,0,-0.00211208,0.0659923,-1.49747,453.717,2723.86,158.936
69,0,-0.00101545,0.0658725,-1.49792,453.803,2723.77,159.064
70,0,-0.00240241,0.0663908,-1.49632,453.624,2723.63,159.045
71,0,-0.00412003,0.066911,-1.49661,453.719,2723.99,158.849
72,0,-0.00265885,0.0661505,-1.4983,453.869,2723.86,158.956
73,0,-0.00199802,0.0652325,-1.49886,453.96,2724.01,158.774
74,0,-0.00336208,0.0667431,-1.49695,453.653,2723.86,158.93
75,0,3.82932e-005,0.0665938,-1.49782,453.759,2723.86,159.17
76,0,-0.00204109,0.0705077,-1.49497,453.103,2724.12,159.199
77,0,-0.00168901,0.064882,-1.50047,453.85,2723.88,158.937
78,0,-0.000190046,0.0654177,-1.50126,453.83,2723.83,159.135
79,0,-0.000132637,0.0668057,-1.49914,453.606,2723.91,159.084
80,0,-0.000123875,0.0742267,-1.49351,452.79,2724.25,159.66
81,0,0.000666316,0.0641253,-1.50265,453.941,2723.78,159.069
82,0,-0.00164302,0.0673506,-1.49865,453.689,2724.05,159.065
83,0,-0.00147262,0.065231,-1.50122,453.898,2723.96,158.892
84,0,0.000319868,0.0658685,-1.50125,453.854,2723.83,159.094
85,0,-0.000566139,0.0663789,-1.50016,453.859,2724.08,159.01
86,0,-0.000549334,0.0664707,-1.49999,453.716,2723.87,159.082
87,0,-0.00176632,0.0655914,-1.50001,453.75,2723.82,158.879
88,0,-0.000458942,0.0665422,-1.49963,453.664,2723.82,159.102
89,0,0.00064031,0.0652853,-1.50115,453.846,2723.91,159.015
90,0,6.6877e-005,0.0648632,-1.5022,453.924,2723.9,159.013
91,0,-0.00136112,0.0654491,-1.4997,453.753,2724.04,158.843
92,0,-0.00139063,0.0654312,-1.50111,453.878,2723.91,158.977
93,0,-0.00247055,0.0658508,-1.50024,453.816,2724.19,158.803
94,0,-0.00152988,0.0651509,-1.50041,453.826,2724.06,158.76
95,0,-0.00128386,0.0668693,-1.49886,453.643,2723.98,159.08
96,0,-0.001893,0.0659806,-1.49957,453.72,2724.03,158.853
97,0,-0.00176656,0.0676442,-1.49764,453.492,2724.02,158.988
98,0,-0.000673931,0.0647923,-1.50157,453.902,2724.07,158.847
99,0,-0.00204111,0.0657955,-1.49943,453.634,2723.77,158.908
100,0,-0.000548094,0.0643636,-1.50203,453.907,2723.82,158.848
101,0,-0.000962635,0.0657215,-1.50036,453.738,2723.85,158.987
102,0,-0.000323571,0.0657722,-1.5008,453.791,2723.86,159.027
103,0,-0.000634233,0.0648443,-1.50138,453.74,2723.59,158.998
104,0,-0.0013898,0.0677613,-1.49874,453.537,2723.97,159.26
105,0,-0.000233769,0.0639347,-1.50279,453.947,2723.84,158.873
106,0,-0.000517751,0.0662416,-1.50039,453.745,2723.98,158.994
107,0,-0.00122774,0.0666037,-1.49959,453.593,2723.76,159.107
108,0,-0.00247892,0.0640797,-1.50197,453.979,2724.08,158.605
109,0,-0.00187893,0.0670362,-1.49825,453.545,2723.9,159.031
110,0,-0.00183882,0.0648625,-1.5011,453.803,2723.97,158.761
111,0,-0.00232051,0.0654602,-1.50035,453.743,2724.04,158.835
112,0,-0.00214116,0.0660502,-1.49978,453.688,2724.05,158.829
113,0,0.000609226,0.0660562,-1.50143,453.856,2724,159.162
114,0,-0.00135778,0.0654622,-1.50066,453.77,2724.07,158.872
115,0,-0.00270255,0.0654413,-1.50001,453.744,2724.09,158.697
116,0,-0.00118059,0.0642378,-1.50155,453.822,2723.84,158.826
117,0,-0.00250388,0.0648499,-1.5011,453.835,2724.02,158.685
118,0,-0.00166016,0.0655741,-1.5006,453.768,2723.84,158.92
119,0,-0.000868001,0.0643415,-1.50186,453.838,2723.89,158.895
120,0,-0.00160603,0.0663516,-1.4995,453.656,2723.93,158.951
121,0,-0.000479631,0.0649827,-1.50147,453.817,2723.88,158.917
122,0,0.000101084,0.0642223,-1.50206,453.842,2723.76,158.931
123,0,0.00098812,0.0655971,-1.50126,453.739,2723.77,159.158
124,0,-0.00132368,0.0655424,-1.50073,453.731,2723.78,158.974
125,0,-0.000739526,0.0654142,-1.50125,453.867,2723.99,159.052
126,0,-0.00114073,0.0716736,-1.49581,453.079,2724.45,159.251
127,0,0.000734001,0.0688372,-1.49882,453.135,2723.64,159.786
128,0,2.03826e-006,0.0656959,-1.49786,453.522,2723.22,159.392
129,0,-0.0030927,0.0678914,-1.4959,453.244,2722.7,159.379
130,0,-0.00226527,0.0666659,-1.49678,453.287,2721.98,159.409
131,0,-0.00496604,0.0668127,-1.49627,453.146,2721.25,159.147
132,0,-0.00516168,0.0656877,-1.49662,453.276,2720.77,158.861
133,0,-0.00701103,0.0626931,-1.49756,453.457,2720.19,158.349
134,0,-0.0308941,0.0335495,-1.49562,452.504,2720.26,153.236
135,0,-0.0391789,0.0286069,-1.48535,450.81,2719.87,151.706
136,0,-0.039057,0.0302403,-1.48304,450.506,2719.09,151.731
137,0,-0.0440317,0.0287577,-1.48171,450.226,2718.07,151.183
138,0,-0.062291,0.0525421,-1.43843,445.767,2715.9,152.613
139,0,-0.068032,0.0399231,-1.44877,447.256,2714.87,150.755
140,0,0.00859571,0.0475662,-1.5459,463.308,2726.23,153.002
141,0,0.00816525,0.0483216,-1.54632,463.2,2724.66,153.129
142,0,0.00665129,0.0499069,-1.54585,463.096,2723.43,153.222
143,0,0.00769995,0.0502502,-1.54656,463.04,2721.9,153.605
144,0,0.00689489,0.0505319,-1.54664,462.908,2720.03,153.761
145,0,0.00698404,0.050554,-1.54694,462.836,2718.57,153.798
146,0,0.00643739,0.0522334,-1.54439,464.24,2720.71,152.437
147,0,0.00964763,0.0508486,-1.54654,464.477,2720.41,151.949
148,0,0.00733025,0.0528002,-1.54336,464.201,2718.51,151.991
149,0,0.00842348,0.048797,-1.54727,462.915,2713.65,153.359
150,0,0.00587455,0.0489152,-1.5471,462.844,2712.09,153.266
151,0,0.00472852,0.04993,-1.54667,462.768,2710.46,153.291
152,0,0.00450459,0.0508772,-1.54664,462.676,2708.99,153.578
153,0,0.00449875,0.0516278,-1.5465,462.551,2707.32,153.84
154,0,0.00495578,0.0521814,-1.54676,462.378,2705.16,154.032
155,0,0.00443945,0.0554905,-1.54409,464.061,2707.34,152.586
156,0,0.00611131,0.0553558,-1.5442,464.01,2705.81,152.368
157,0,0.00114211,0.0629922,-1.54058,464.005,2708.48,150.44
158,0,-0.00116749,0.0636842,-1.54034,464.077,2707.67,149.892
159,0,0.00309497,0.0550457,-1.54542,464.233,2702.17,151.419
160,0,0.00200661,0.055177,-1.54515,464.144,2700.67,151.561
161,0,0.00323887,0.0552721,-1.54498,463.895,2698.73,152.072
162,0,0.00395831,0.0558476,-1.54546,464.141,2697.41,151.859
163,0,0.00450856,0.0564598,-1.54569,463.991,2695.24,151.883
164,0,0.00623046,0.056914,-1.54656,464.06,2693.02,152.062
165,0,-0.00159376,0.0650295,-1.54291,463.815,2694.66,150.519
166,0,-0.00733809,0.0803073,-1.52792,461.825,2693.37,151.045
167,0,-0.00168307,0.0580987,-1.54237,463.155,2688.15,151.578
168,0,0.00245557,0.0542375,-1.54869,463.913,2686.92,151.463
