Objects
100
,,Global Angle rccar_car_01:rccar_car_01,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.835353,1.01866,-1.49048,-815.552,1567.96,240.202
2,0,-0.836485,1.01391,-1.48449,-824.57,1529.08,239.832
3,0,-0.836814,1.00783,-1.48013,-833.397,1490.07,239.416
4,0,-0.838834,1.00926,-1.46937,-841.607,1450.35,239.533
5,0,-0.837979,1.00262,-1.46662,-849.934,1411.41,238.667
6,0,-0.840596,0.99942,-1.45894,-857.995,1372.05,238.06
7,0,-0.0100733,0.00936097,-1.73615,-775.646,1320.12,173.509
8,0,-0.00668312,0.00890332,-1.7293,-783.3,1281.23,173.079
9,0,-0.00542297,0.0068131,-1.72245,-790.364,1242.3,172.585
10,0,-0.00667118,0.00637671,-1.71483,-797.284,1203.32,172.14
11,0,-0.00624703,0.00409349,-1.71005,-803.967,1163.33,172.186
12,0,-0.00847213,0.00338359,-1.70281,-810.366,1124.17,171.901
13,0,-0.00810388,0.000859721,-1.69524,-816.421,1085.04,171.618
14,0,-0.00915818,0.000445039,-1.68762,-822.301,1045.68,171.13
15,0,-0.00803814,-0.00159695,-1.6809,-827.905,1006.2,170.749
16,0,-0.00799263,-0.00270268,-1.67462,-833.387,966.615,170.334
17,0,-0.00688049,-0.00442102,-1.66844,-838.435,926.962,169.937
18,0,-0.00696218,-0.00533574,-1.66189,-843.363,887.12,169.711
19,0,-0.00753621,-0.00431986,-1.65552,-847.867,847.358,169.382
20,0,-0.00598613,-0.00493361,-1.65006,-852.212,807.476,169.135
21,0,-0.00573175,-0.00317627,-1.64325,-856.335,767.521,168.744
22,0,-0.00504447,-0.00186729,-1.63707,-860.264,727.503,168.347
23,0,-0.00282793,0.000482426,-1.62945,-863.707,687.925,167.839
24,0,-0.00102263,0.000875169,-1.62288,-867.139,647.74,167.361
25,0,-0.00109349,0.00110929,-1.61628,-870.304,607.477,167.004
26,0,0.000159318,3.88948e-006,-1.60985,-872.848,567.466,166.747
27,0,-0.00122069,0.00114133,-1.6023,-875.237,527.372,166.439
28,0,-0.00159883,0.000888142,-1.59526,-877.392,487.184,166.176
