Objects
100
,,Global Angle rccar_car_01:rccar_car_01,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,1.34757,0.848586,-0.873383,-1706.07,-2088.79,284.346
2,0,1.32542,0.834343,-0.855237,-1707.48,-2088.37,282.42
3,0,1.34011,0.843755,-0.86776,-1706.19,-2088.13,283.722
4,0,1.33233,0.838105,-0.859854,-1706.67,-2087.94,282.861
5,0,1.34792,0.84585,-0.87189,-1705.74,-2087.48,283.982
6,0,1.3659,0.850152,-0.877609,-1705.29,-2087.44,284.17
7,0,-0.125292,-0.0389644,1.10623,-1692,-2192.12,194.05
8,0,-0.126466,-0.039704,1.10677,-1691.67,-2191.71,194.066
9,0,-0.127447,-0.0402852,1.10716,-1691.35,-2191.4,194.121
10,0,-0.125818,-0.0390086,1.10653,-1691.28,-2191.09,194.044
11,0,-0.125305,-0.0384444,1.10625,-1691.08,-2190.7,194.03
12,0,-0.124952,-0.0385057,1.1058,-1690.93,-2190.44,194.067
13,0,-0.123948,-0.0378211,1.10533,-1690.77,-2190.06,194.052
14,0,-0.12463,-0.0389455,1.10529,-1690.5,-2189.77,194.128
15,0,-0.124205,-0.0386753,1.1051,-1690.29,-2189.33,194.179
16,0,-0.124434,-0.0388599,1.10484,-1690.03,-2188.95,194.142
17,0,-0.121715,-0.038681,1.10167,-1689.73,-2187.91,194.292
18,0,-0.14624,-0.0524752,1.10493,-1687.68,-2186.36,195.594
19,0,-0.145399,-0.0524325,1.10883,-1687.62,-2187.16,194.938
20,0,-0.143581,-0.0529478,1.10789,-1687.29,-2186.58,195.096
21,0,-0.122897,-0.0409976,1.10097,-1688.26,-2186.26,194.382
22,0,-0.112626,-0.0337177,1.09694,-1688.14,-2185.37,194.111
23,0,-0.117735,-0.0360787,1.09682,-1687.08,-2184.89,194.127
24,0,-0.11151,-0.0340985,1.09519,-1686.86,-2183.81,194.336
25,0,-0.124103,-0.0436744,1.09716,-1685.18,-2183.24,194.75
26,0,-0.114332,-0.0402526,1.09208,-1684.78,-2181.07,194.977
27,0,-0.117531,-0.0434515,1.09482,-1683.59,-2180,195.19
28,0,-0.11506,-0.0441549,1.09004,-1682.27,-2177.6,195.581
29,0,-0.116041,-0.0449175,1.08891,-1680.9,-2176.03,195.606
30,0,-0.109119,-0.0368332,1.08946,-1679.86,-2174.23,195.177
31,0,1.37905,0.850628,-0.89433,-1688.11,-2067.6,287.251
32,0,1.36247,0.836781,-0.88017,-1687.81,-2065.16,286.109
33,0,1.36092,0.836758,-0.884301,-1685.84,-2062.21,286.287
34,0,1.34401,0.825954,-0.870969,-1684.59,-2059.62,284.68
35,0,1.42039,0.852578,-0.906326,-1680.47,-2058.1,287.094
36,0,1.38708,0.847545,-0.907271,-1677.3,-2053.78,287.879
37,0,2.00192,1.1388,-1.27409,-1643.98,-2074.9,310.176
38,0,2.00465,1.13606,-1.27365,-1641.46,-2071.67,309.944
39,0,2.00441,1.1361,-1.27711,-1638.12,-2068.38,310.159
40,0,2.00883,1.13137,-1.27641,-1635.66,-2064.85,309.867
41,0,2.01159,1.1289,-1.27626,-1632.73,-2061.21,309.596
42,0,2.01339,1.1278,-1.27795,-1629.45,-2057.54,309.457
43,0,2.01572,1.12522,-1.27917,-1626.26,-2053.55,309.227
44,0,2.01753,1.12544,-1.27138,-1623.42,-2049.64,309.161
45,0,2.01988,1.12252,-1.27282,-1620.08,-2045.34,309.01
46,0,2.02117,1.11901,-1.28199,-1616.01,-2040.99,308.719
47,0,2.02415,1.11565,-1.27791,-1612.46,-2036.49,308.114
48,0,2.02557,1.1134,-1.28334,-1608.81,-2031.87,308.167
49,0,2.02771,1.11147,-1.28348,-1604.92,-2027.29,307.84
50,0,2.03004,1.10981,-1.28419,-1601.14,-2022.61,307.638
51,0,2.03238,1.10737,-1.28417,-1597.16,-2017.76,307.323
52,0,2.03371,1.10427,-1.28671,-1592.99,-2012.74,307.241
53,0,2.03504,1.10217,-1.30176,-1588.16,-2007.72,307.13
54,0,2.03794,1.09996,-1.302,-1583.97,-2002.69,306.881
55,0,2.0392,1.09774,-1.30484,-1579.44,-1997.49,306.799
56,0,2.04172,1.09511,-1.30604,-1574.99,-1992.22,306.457
57,0,1.91269,1.0998,-1.43506,-1553.07,-1978.8,321.367
58,0,2.04098,1.08324,-1.32601,-1564.14,-1981.88,305.017
59,0,2.04018,1.07283,-1.3301,-1559.84,-1975.2,305.369
60,0,2.04364,1.06998,-1.32878,-1555.37,-1969.72,305.038
61,0,2.0483,1.07461,-1.328,-1550.02,-1965.2,304.197
62,0,2.04664,1.06384,-1.33167,-1545.53,-1958.25,304.589
63,0,2.0522,1.05432,-1.33065,-1541.05,-1952.49,304.539
64,0,2.05589,1.06418,-1.3324,-1535.12,-1947.88,303.286
65,0,2.05533,1.05497,-1.3363,-1530.26,-1941.07,303.652
66,0,2.05845,1.05112,-1.33814,-1525.06,-1935.15,303.43
67,0,2.06967,1.06341,-1.29815,-1521.49,-1931.42,301.791
68,0,2.07362,1.06283,-1.29884,-1515.99,-1925.85,301.327
69,0,2.07413,1.05427,-1.30325,-1510.78,-1919.05,301.518
70,0,2.06967,1.04228,-1.34161,-1503.27,-1911.67,302.148
71,0,2.07276,1.03926,-1.34303,-1497.72,-1905.69,301.839
72,0,2.07989,1.04055,-1.33924,-1492.28,-1900.59,301.076
73,0,2.08677,1.04326,-1.33793,-1486.33,-1895.47,300.15
74,0,2.08884,1.04067,-1.33851,-1480.5,-1889.29,300.008
75,0,2.09213,1.03729,-1.34024,-1474.6,-1883.15,299.748
76,0,2.09141,1.03037,-1.34551,-1468.36,-1876.25,299.906
77,0,2.09987,1.0332,-1.34198,-1462.57,-1871.2,299.021
78,0,2.1048,1.02582,-1.33138,-1457.26,-1864.95,298.713
79,0,2.10432,1.02495,-1.34451,-1450.31,-1858.55,298.549
80,0,2.10825,1.0208,-1.34392,-1444.2,-1852.3,298.232
81,0,2.11378,1.01236,-1.33572,-1438.67,-1845.99,298.23
82,0,2.11428,1.01194,-1.34567,-1431.76,-1839.64,297.917
83,0,2.12673,1.01746,-1.33694,-1426,-1835.25,296.497
